Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GAP,Normalized Power® (NP®),Training Stress Score®,Avg Power,Max Power,Steps,Decompression,Best Lap Time,Number of Laps,Avg Resp,Min Resp,Max Resp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,2024-11-14 13:30:35,false,"Toronto Running","10.01","766","00:55:26","144","159","3.9","153","176","5:32","4:20","94","76","1.18","8.6","10.1","294","5:28","370","0.0","361","539","8,426","No","00:00:04.1","11","--","--","--","00:55:15","00:59:12","73","117"
Running,2024-11-12 13:35:19,false,"Toronto Running","11.74","833","01:05:23","130","155","3.6","150","165","5:34","3:53","165","150","1.19","8.6","10.2","299","5:29","371","0.0","360","573","9,812","No","00:04:07.6","12","--","--","--","01:04:59","01:12:25","75","125"
Running,2024-11-06 14:23:13,false,"Toronto Running","11.87","879","01:09:06","137","154","3.5","152","183","5:49","4:38","149","141","1.12","8.8","9.9","298","5:43","350","0.0","339","605","10,496","No","00:04:51.7","12","--","--","--","01:08:37","01:13:41","67","112"
Running,2024-11-02 15:50:04,false,"Frontenac Islands Running","10.01","738","00:54:53","141","149","3.5","155","163","5:29","5:06","78","64","1.17","8.6","10.0","290","5:27","355","0.0","350","542","8,434","No","00:00:02.2","11","--","--","--","00:54:45","00:54:53","136","169"
Running,2024-10-30 15:15:53,false,"Toronto Running","10.01","769","00:57:44","141","160","3.6","154","240","5:46","4:21","96","97","1.12","8.8","9.8","294","5:45","357","0.0","348","545","8,804","No","00:00:03.4","11","--","--","--","00:57:13","01:02:15","69","109"
Running,2024-10-27 08:31:30,false,"Niagara Falls - Niagara Falls Marathon (Half Marathon)","21.28","1,704","02:01:28","154","176","5.0","157","174","5:43","4:37","84","80","1.11","8.6","9.5","285","5:43","339","0.0","331","489","18,976","No","00:00:27.4","23","--","--","--","01:59:45","02:02:02","151","179"
Running,2024-10-24 16:27:59,false,"Toronto - Easy Run","4.71","336","00:28:12","127","143","2.7","149","168","5:59","4:30","36","24","1.10","8.9","9.7","301","6:00","327","0.0","318","503","4,226","No","00:03:11.8","6","--","--","--","00:27:57","00:40:48","90","121"
Running,2024-10-22 15:39:35,false,"Douglas County - Stride Repeats","7.35","603","00:43:25","148","167","3.6","153","181","5:54","3:33","135","139","1.10","8.9","9.6","300","5:49","358","0.0","337","738","6,548","No","00:00:20","24","--","--","--","00:43:15","00:43:36","1,711","1,765"
Running,2024-10-20 15:31:01,false,"Chaffee County - Progression Run","7.73","560","00:44:46","131","146","3.1","154","165","5:48","4:52","112","127","1.12","8.8","9.8","298","5:43","353","0.0","339","596","6,824","No","00:03:02.1","9","--","--","--","00:44:44","00:44:46","2,513","2,580"
Running,2024-10-17 10:45:29,false,"Toronto - Stride Repeats","6.89","519","00:39:25","137","160","3.2","156","194","5:43","3:09","88","82","1.10","8.7","9.5","290","5:43","357","0.0","339","686","6,128","No","00:00:04.0","24","--","--","--","00:39:15","00:42:02","75","109"
